Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.39,100.0,0.19,15.2
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.08,100.0,0.18,14.9
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.39,100.0,0.19,15.2
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.1,100.0,0.19,14.91
cooperative_flock,15.29,100.0,0.19,15.11
cooperative_flock,15.28,100.0,0.18,15.1
cooperative_flock,15.59,100.0,0.19,15.4
cooperative_flock,15.37,100.0,0.18,15.19
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.47,100.0,0.18,15.3
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.5,100.0,0.2,15.3
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.4,100.0,0.2,15.21
cooperative_flock,15.4,100.0,0.2,15.21
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.39,100.0,0.19,15.2
cooperative_flock,15.1,100.0,0.19,14.91
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.39,100.0,0.18,15.2
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.37,100.0,0.18,15.19
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.5,100.0,0.2,15.34
cooperative_flock,15.58,100.0,0.18,15.4
cooperative_flock,15.58,100.0,0.18,15.4
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.39,100.0,0.19,15.2
cooperative_flock,15.59,100.0,0.19,15.4
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.62,100.0,0.32,15.3
cooperative_flock,15.38,100.0,0.19,15.2
cooperative_flock,15.28,100.0,0.18,15.1
cooperative_flock,15.49,100.0,0.19,15.3
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.29,100.0,0.19,15.1
cooperative_flock,15.4,100.0,0.2,15.21
cooperative_flock,15.48,100.0,0.19,15.3
cooperative_flock,15.29,100.0,0.2,15.09
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.18,100.0,0.18,15.0
cooperative_flock,15.5,100.0,0.19,15.3
cooperative_flock,15.27,100.0,0.18,15.09
cooperative_flock,15.2,100.0,0.2,15.0
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.17,100.0,0.18,14.99
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.3,100.0,0.19,15.11
cooperative_flock,15.4,100.0,0.2,15.2
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.4,100.0,0.2,15.2
cooperative_flock,15.19,100.0,0.18,15.0
cooperative_flock,15.4,100.0,0.3,15.1
cooperative_flock,15.39,100.0,0.19,15.2
cooperative_flock,15.6,100.0,0.19,15.41
cooperative_flock,15.2,100.0,0.19,15.01
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.47,100.0,0.18,15.29
cooperative_flock,15.3,100.0,0.2,15.1
cooperative_flock,15.28,100.0,0.18,15.1
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.3,100.0,0.2,15.11
cooperative_flock,15.29,100.0,0.18,15.1
cooperative_flock,15.41,100.0,0.21,15.2
cooperative_flock,15.3,100.0,0.2,15.1
cooperative_flock,15.38,100.0,0.19,15.2
cooperative_flock,15.59,100.0,0.19,15.4
cooperative_flock,15.47,100.0,0.18,15.28
cooperative_flock,15.57,100.0,0.18,15.39
cooperative_flock,15.4,100.0,0.2,15.21
cooperative_flock,15.28,100.0,0.18,15.1
cooperative_flock,15.4,100.0,0.19,15.21
cooperative_flock,15.3,100.0,0.2,15.1
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,15.18,100.0,0.18,15.0
divided_flock,30.4,100.0,9.69,20.75
divided_flock,22.78,100.0,8.68,14.1
divided_flock,18.7,100.0,5.7,13.0
divided_flock,23.89,100.0,6.79,17.1
divided_flock,21.01,100.0,5.71,15.3
divided_flock,27.3,100.0,6.29,21.01
divided_flock,19.58,100.0,5.78,13.8
divided_flock,18.0,100.0,6.0,12.0
divided_flock,32.2,100.0,6.29,25.91
divided_flock,19.58,100.0,6.58,13.0
divided_flock,20.79,100.0,6.09,14.7
divided_flock,18.2,100.0,5.8,12.4
divided_flock,20.0,100.0,6.8,13.2
divided_flock,19.4,100.0,6.1,13.3
divided_flock,20.6,100.0,7.3,13.3
divided_flock,21.2,100.0,6.09,15.11
divided_flock,19.77,100.0,6.17,13.6
divided_flock,23.87,100.0,7.67,16.2
divided_flock,30.57,100.0,8.98,21.59
divided_flock,25.91,100.0,6.11,19.8
divided_flock,18.9,100.0,6.39,12.51
divided_flock,19.48,100.0,6.08,13.4
divided_flock,24.48,100.0,6.58,17.9
divided_flock,19.2,100.0,6.1,13.1
divided_flock,27.7,100.0,8.6,19.1
divided_flock,26.18,100.0,6.98,19.2
divided_flock,20.61,100.0,6.51,14.1
divided_flock,18.9,100.0,5.9,13.01
divided_flock,21.68,100.0,5.68,16.0
divided_flock,35.08,100.0,9.68,25.4
divided_flock,18.29,100.0,5.69,12.6
divided_flock,20.0,100.0,6.1,13.9
divided_flock,18.89,100.0,6.89,12.0
divided_flock,19.21,100.0,5.81,13.4
divided_flock,26.5,100.0,8.2,18.3
divided_flock,23.58,100.0,5.89,17.7
divided_flock,23.57,100.0,7.08,16.5
divided_flock,20.07,100.0,7.08,13.0
divided_flock,25.29,100.0,5.99,19.3
divided_flock,28.93,100.0,5.83,23.1
divided_flock,29.4,100.0,10.19,19.21
divided_flock,25.39,100.0,5.79,19.6
divided_flock,20.49,100.0,6.09,14.41
divided_flock,21.92,100.0,6.22,15.7
divided_flock,29.5,100.0,8.4,21.1
divided_flock,22.57,100.0,5.88,16.69
divided_flock,19.41,100.0,6.01,13.4
divided_flock,19.4,100.0,6.09,13.31
divided_flock,22.9,100.0,5.6,17.3
divided_flock,23.4,100.0,8.6,14.8
divided_flock,20.98,100.0,5.88,15.1
divided_flock,17.8,100.0,5.39,12.41
divided_flock,22.8,100.0,6.29,16.51
divided_flock,19.79,100.0,6.39,13.41
divided_flock,18.7,100.0,5.9,12.8
divided_flock,27.5,100.0,6.09,21.41
divided_flock,18.89,100.0,5.89,13.0
divided_flock,19.11,100.0,5.41,13.7
divided_flock,19.69,100.0,6.29,13.4
divided_flock,19.59,100.0,6.39,13.2
divided_flock,20.5,100.0,5.59,14.95
divided_flock,18.09,100.0,5.79,12.3
divided_flock,20.38,100.0,7.38,13.0
divided_flock,19.28,100.0,5.98,13.3
divided_flock,20.09,100.0,5.69,14.41
divided_flock,25.99,100.0,6.29,19.7
divided_flock,32.28,100.0,6.78,25.5
divided_flock,42.38,100.0,5.88,36.5
divided_flock,23.7,100.0,6.79,16.91
divided_flock,18.58,100.0,5.98,12.6
divided_flock,18.3,100.0,5.1,13.2
divided_flock,20.1,100.0,6.5,13.6
divided_flock,19.58,100.0,5.78,13.8
divided_flock,22.8,100.0,6.6,16.2
divided_flock,18.5,100.0,5.8,12.71
divided_flock,22.18,100.0,5.48,16.7
divided_flock,22.8,100.0,6.5,16.3
divided_flock,26.6,100.0,7.4,19.2
divided_flock,19.79,100.0,6.09,13.7
divided_flock,19.8,100.0,6.39,13.41
divided_flock,20.4,100.0,8.69,11.74
divided_flock,18.87,100.0,5.78,13.09
divided_flock,20.17,100.0,6.48,13.69
divided_flock,25.67,100.0,9.08,16.6
divided_flock,23.9,100.0,6.4,17.5
divided_flock,22.61,100.0,6.61,16.0
divided_flock,24.01,100.0,5.41,18.6
divided_flock,24.3,100.0,6.59,17.7
divided_flock,31.2,100.0,13.0,18.2
divided_flock,20.08,100.0,6.88,13.2
divided_flock,20.5,100.0,5.89,14.61
divided_flock,19.8,100.0,6.5,13.3
divided_flock,18.98,100.0,5.78,13.2
divided_flock,18.68,100.0,6.08,12.6
divided_flock,21.98,100.0,6.58,15.4
divided_flock,21.9,100.0,5.6,16.31
divided_flock,21.09,100.0,5.29,15.8
divided_flock,22.0,100.0,6.2,15.8
divided_flock,22.8,100.0,6.2,16.6
divided_flock,32.7,100.0,7.69,25.01
lone_sheep,18.49,100.0,4.79,13.74
lone_sheep,17.88,100.0,4.28,13.6
lone_sheep,18.3,100.0,4.29,14.01
lone_sheep,23.4,100.0,4.5,18.9
lone_sheep,18.88,100.0,3.48,15.4
lone_sheep,18.89,100.0,3.89,15.0
lone_sheep,17.8,100.0,4.2,13.61
lone_sheep,20.31,100.0,5.21,15.1
lone_sheep,21.07,100.0,3.88,17.2
lone_sheep,18.57,100.0,4.28,14.3
lone_sheep,18.7,100.0,4.4,14.31
lone_sheep,18.98,100.0,4.49,14.5
lone_sheep,29.9,100.0,3.29,26.61
lone_sheep,30.5,100.0,9.29,21.21
lone_sheep,18.8,100.0,4.49,14.31
lone_sheep,36.81,100.0,7.31,29.5
lone_sheep,18.52,100.0,4.03,14.5
lone_sheep,30.1,100.0,3.5,26.61
lone_sheep,21.5,100.0,4.9,16.6
lone_sheep,18.58,100.0,4.28,14.3
lone_sheep,18.9,100.0,4.6,14.3
lone_sheep,18.7,100.0,4.49,14.21
lone_sheep,18.7,100.0,4.5,14.2
lone_sheep,18.88,100.0,3.98,14.9
lone_sheep,18.1,100.0,4.19,13.91
lone_sheep,18.2,100.0,4.2,14.0
lone_sheep,18.27,100.0,4.58,13.69
lone_sheep,20.99,100.0,4.19,16.8
lone_sheep,19.2,100.0,3.79,15.41
